,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_penalty,param_random_state,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
4,0.20497727394104004,0.10889049254945628,0.003273308277130127,1.8966175489334413e-05,5,balanced,l1,1234,liblinear,"{'C': 5, 'class_weight': 'balanced', 'penalty': 'l1', 'random_state': 1234, 'solver': 'liblinear'}",0.7170514398091692,0.7053465448823082,0.7179419614651055,0.7076780821715588,0.7120045070820354,0.005562627698809279,1
2,0.08134490251541138,0.029199127939120925,0.003257572650909424,2.327506047005113e-05,1,balanced,l1,1234,liblinear,"{'C': 1, 'class_weight': 'balanced', 'penalty': 'l1', 'random_state': 1234, 'solver': 'liblinear'}",0.7169394577263025,0.7054585269651749,0.7180178015742267,0.7074540678346413,0.7119674635250863,0.005569208037173757,2
1,0.0661323070526123,0.0011526046915831,0.0036805272102355957,0.0007638078153900402,0.5,balanced,l2,1234,liblinear,"{'C': 0.5, 'class_weight': 'balanced', 'penalty': 'l2', 'random_state': 1234, 'solver': 'liblinear'}",0.7166395781946717,0.7053465448823082,0.7179419614651055,0.7076780821715588,0.7119015416784111,0.0054713173558076575,3
3,0.06609171628952026,0.0011447699342664304,0.0032091140747070312,2.5511902045050496e-06,1,balanced,l2,1234,liblinear,"{'C': 1, 'class_weight': 'balanced', 'penalty': 'l2', 'random_state': 1234, 'solver': 'liblinear'}",0.7166395781946717,0.7053465448823082,0.7179419614651055,0.7076780821715588,0.7119015416784111,0.0054713173558076575,3
5,0.06603235006332397,0.0011366336565650777,0.0032308101654052734,3.1774139837087816e-05,5,balanced,l2,1234,liblinear,"{'C': 5, 'class_weight': 'balanced', 'penalty': 'l2', 'random_state': 1234, 'solver': 'liblinear'}",0.7166395781946717,0.7053465448823082,0.7179419614651055,0.7076780821715588,0.7119015416784111,0.0054713173558076575,3
6,0.3455185890197754,0.33637741758600165,0.0032602548599243164,3.853927739681646e-05,10,balanced,l1,1234,liblinear,"{'C': 10, 'class_weight': 'balanced', 'penalty': 'l1', 'random_state': 1234, 'solver': 'liblinear'}",0.7166395781946717,0.7053465448823082,0.7179419614651055,0.7076780821715588,0.7119015416784111,0.0054713173558076575,3
7,0.06600522994995117,0.0010885523805004732,0.0032867789268493652,7.194900347732559e-06,10,balanced,l2,1234,liblinear,"{'C': 10, 'class_weight': 'balanced', 'penalty': 'l2', 'random_state': 1234, 'solver': 'liblinear'}",0.7166395781946717,0.7053465448823082,0.7179419614651055,0.7076780821715588,0.7119015416784111,0.0054713173558076575,3
8,0.047263503074645996,0.0010642405368806332,0.0032900571823120117,1.057474424059157e-05,20,balanced,l1,1234,liblinear,"{'C': 20, 'class_weight': 'balanced', 'penalty': 'l1', 'random_state': 1234, 'solver': 'liblinear'}",0.7166395781946717,0.7053465448823082,0.7179419614651055,0.7076780821715588,0.7119015416784111,0.0054713173558076575,3
9,0.06612658500671387,0.0011975539409620419,0.003289520740509033,6.9885016235578345e-06,20,balanced,l2,1234,liblinear,"{'C': 20, 'class_weight': 'balanced', 'penalty': 'l2', 'random_state': 1234, 'solver': 'liblinear'}",0.7166395781946717,0.7053465448823082,0.7179419614651055,0.7075660750031001,0.7118735398862964,0.005493104293500924,9
0,0.06272870302200317,0.015268398624212233,0.003640413284301758,0.0006477632938948242,0.5,balanced,l1,1234,liblinear,"{'C': 0.5, 'class_weight': 'balanced', 'penalty': 'l1', 'random_state': 1234, 'solver': 'liblinear'}",0.7169394577263025,0.7050466653506773,0.7171940783452315,0.7073420606661824,0.7116305655220984,0.005497181703734192,10
