,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
35,2.8468291759490967,0.04881014805765893,0.22673851251602173,0.01111562617401659,entropy,10,log2,200,1234,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 200, 'random_state': 1234}",0.76157774256031,0.7550625110054587,0.7592462134554421,0.7532581895033462,0.7572861641311392,0.0032950209253097495,1
32,2.857275128364563,0.050147742304473705,0.22364407777786255,0.003639519910624422,entropy,10,sqrt,200,1234,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 200, 'random_state': 1234}",0.76157774256031,0.7550625110054587,0.7592462134554421,0.7532581895033462,0.7572861641311392,0.0032950209253097495,1
16,1.33537358045578,0.007446394990862841,0.11160093545913696,0.0010516608441690414,gini,10,log2,100,1234,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 100, 'random_state': 1234}",0.7582320831132242,0.755238598344779,0.7587178584008454,0.7520253610426206,0.7560534752253674,0.0026802517715023124,3
13,1.3391239643096924,0.00978866469546536,0.11122000217437744,0.0006414389565050735,gini,10,sqrt,100,1234,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 100, 'random_state': 1234}",0.7582320831132242,0.755238598344779,0.7587178584008454,0.7520253610426206,0.7560534752253674,0.0026802517715023124,3
31,1.9415481090545654,0.1761371607171723,0.13725048303604126,0.019516440244789667,entropy,10,sqrt,100,1234,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 100, 'random_state': 1234}",0.7582320831132242,0.754710336326818,0.7557238464247975,0.7514970059880239,0.755040817963216,0.0024144628059103676,5
34,1.413381040096283,0.005773637607631521,0.11107075214385986,0.00039250137862752903,entropy,10,log2,100,1234,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 100, 'random_state': 1234}",0.7582320831132242,0.754710336326818,0.7557238464247975,0.7514970059880239,0.755040817963216,0.0024144628059103676,5
14,2.6468783617019653,0.009808895665661966,0.22041994333267212,0.0008739434142725994,gini,10,sqrt,200,1234,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 200, 'random_state': 1234}",0.7578799084345835,0.7548864236661385,0.7573089115885875,0.7499119408242338,0.7549967961283859,0.003143491292179653,7
17,2.6719903349876404,0.056786685481471345,0.22526180744171143,0.010059629734551694,gini,10,log2,200,1234,"{'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 200, 'random_state': 1234}",0.7578799084345835,0.7548864236661385,0.7573089115885875,0.7499119408242338,0.7549967961283859,0.003143491292179653,7
33,0.7137290239334106,0.002345625271658696,0.05695253610610962,9.505120763876329e-05,entropy,10,log2,50,1234,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'n_estimators': 50, 'random_state': 1234}",0.7571755590773024,0.751716851558373,0.7543148996125396,0.7516731243395561,0.7537201086469428,0.002263686025436188,9
30,0.8380928635597229,0.08226220926409986,0.06624472141265869,0.009105952170117462,entropy,10,sqrt,50,1234,"{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 50, 'random_state': 1234}",0.7571755590773024,0.751716851558373,0.7543148996125396,0.7516731243395561,0.7537201086469428,0.002263686025436188,9
